#1
double DTIE(30661,2)
952212.62625 1
952212.62625 0
955800.0 0
955800.0 1
955813.209 1
955813.209 0
970200.0 0
970200.0 1
970205.63325 1
970205.63325 0
973800.0 0
973800.0 1
973831.4685 1
973831.4685 0
977400.0 0
977400.0 1
977466.23925 1
977466.23925 0
981000.0 0
981000.0 1
981034.965 1
981034.965 0
984600.0 0
984600.0 1
984603.108 1
984603.108 0
988200.0 0
988200.0 1
988219.23075 1
988219.23075 0
991800.0 0
991800.0 1
991840.98675 1
991840.98675 0
995400.0 0
995400.0 1
995439.04425 1
995439.04425 0
999000.0 0
999000.0 1
999042.54075 1
999042.54075 0
1002600.0 0
1002600.0 1
1002620.202 1
1002620.202 0
1006200.0 0
1006200.0 1
1006213.5975 1
1006213.5975 0
1009800.0 0
1009800.0 1
1009812.23775 1
1009812.23775 0
1013400.0 0
1013400.0 1
1013412.23775 1
1013412.23775 0
1017000.0 0
1017000.0 1
1017037.49025 1
1017037.49025 0
1020600.0 0
1020600.0 1
1020615.73425 1
1020615.73425 0
1024200.0 0
1024200.0 1
1024229.33175 1
1024229.33175 0
1027800.0 0
1027800.0 1
1027803.108 1
1027803.108 0
1031400.0 0
1031400.0 1
1031406.6045 1
1031406.6045 0
1035000.0 0
1035000.0 1
1035006.6045 1
1035006.6045 0
1038600.0 0
1038600.0 1
1038612.62625 1
1038612.62625 0
1042200.0 0
1042200.0 1
1042213.209 1
1042213.209 0
1056600.0 0
1056600.0 1
1056605.63325 1
1056605.63325 0
1060200.0 0
1060200.0 1
1060231.4685 1
1060231.4685 0
1063800.0 0
1063800.0 1
1063866.23925 1
1063866.23925 0
1067400.0 0
1067400.0 1
1067434.965 1
1067434.965 0
1071000.0 0
1071000.0 1
1071003.108 1
1071003.108 0
1074600.0 0
1074600.0 1
1074619.23075 1
1074619.23075 0
1078200.0 0
1078200.0 1
1078240.98675 1
1078240.98675 0
1081800.0 0
1081800.0 1
1081839.04425 1
1081839.04425 0
1085400.0 0
1085400.0 1
