#1
double DTIE(8761,2)
1589400 1.7266666666666668e-07
1593000 1.068375e-06
1596600 2.2770416666666663e-06
1600200 2.1691249999999998e-06
1603800 2.363375e-06
1607400 1.1223333333333334e-06
1611000 7.554166666666667e-07
1614600 6.79875e-07
1618200 6.79875e-07
1621800 2.082791666666667e-06
1625400 8.741250000000001e-07
1629000 1.6295416666666668e-06
1632600 1.7266666666666668e-07
1636200 3.669166666666667e-07
1639800 3.669166666666667e-07
1643400 7.014583333333334e-07
1647000 7.338333333333334e-07
1650600 0.0
1654200 0.0
1657800 0.0
1661400 3.129583333333333e-07
1665000 1.7482500000000002e-06
1668600 3.6799583333333336e-06
1672200 1.9425e-06
1675800 1.7266666666666668e-07
1679400 1.068375e-06
1683000 2.2770416666666663e-06
1686600 2.1691249999999998e-06
1690200 2.363375e-06
1693800 1.1223333333333334e-06
1697400 7.554166666666667e-07
1701000 6.79875e-07
1704600 6.79875e-07
1708200 2.082791666666667e-06
1711800 8.741250000000001e-07
1715400 1.6295416666666668e-06
1719000 1.7266666666666668e-07
1722600 3.669166666666667e-07
1726200 3.669166666666667e-07
1729800 7.014583333333334e-07
1733400 7.338333333333334e-07
1737000 0.0
1740600 0.0
1744200 0.0
1747800 3.129583333333333e-07
1751400 1.7482500000000002e-06
1755000 3.6799583333333336e-06
1758600 1.9425e-06
1762200 1.7266666666666668e-07
1765800 1.068375e-06
1769400 2.2770416666666663e-06
1773000 2.1691249999999998e-06
1776600 2.363375e-06
1780200 1.1223333333333334e-06
1783800 7.554166666666667e-07
1787400 6.79875e-07
1791000 6.79875e-07
1794600 2.082791666666667e-06
1798200 8.741250000000001e-07
1801800 1.6295416666666668e-06
1805400 1.7266666666666668e-07
1809000 3.669166666666667e-07
1812600 3.669166666666667e-07
1816200 7.014583333333334e-07
1819800 7.338333333333334e-07
1823400 0.0
1827000 0.0
1830600 0.0
1834200 3.129583333333333e-07
1837800 1.7482500000000002e-06
1841400 3.6799583333333336e-06
1845000 1.9425e-06
1848600 1.7266666666666668e-07
1852200 1.068375e-06
1855800 2.2770416666666663e-06
1859400 2.1691249999999998e-06
1863000 2.363375e-06
1866600 1.1223333333333334e-06
1870200 7.554166666666667e-07
1873800 6.79875e-07
1877400 6.79875e-07
1881000 2.082791666666667e-06
